Zip Code,Status,Latitude,Longitude
NG16 4DQ,Sale,53.018359116666666,-1.3380171666666667
CF35 6FR,Sale,51.5263343,-3.5550624
HD2 2JF,Sale,53.67894,-1.7875
HA5 4RF,Sale,51.6079099,-0.37645
BR8 7RL,Sale,51.41377805,0.18105725
CF38 1UH,Sale,51.56809,-3.32836
BN2 0GL,Sale,50.82473517272727,-0.12808251818181818
EH9 3DH,Sale,55.92597,-3.17998
W5 1DD,Sale,51.52266,-0.31312
N22 8HT,Sale,51.60179,-0.11316
W14 0AT,Sale,51.50190613333333,-0.21669033333333335
SA18 2YB,Sale,51.8071399,-3.92875
HD1 2AS,Sale,53.6432,-1.78337
E1 1AF,Sale,51.51226,-0.06672
DY2 8EE,Sale,52.50062,-2.07681
LE1 1AJ,Sale,52.63639,-1.12741
B67 7BN,Sale,52.493972766666666,-1.9717824333333331
E11 3AW,Sale,51.570272425,0.0144389125
LS29 9NW,Sale,53.92286,-1.82802
LU5 4SS,Sale,51.89475,-0.49621
LE2 8UE,Sale,52.59521,-1.15461
NR32 4LF,Sale,52.4983999,1.74426
M21 7DP,Sale,53.43824,-2.26133
E10 7HU,Sale,51.5707262,-0.0235619
DY10 2ST,Sale,52.39371,-2.22826
SS7 2TY,Sale,51.56886,0.6137
BN3 5BG,Sale,50.8334,-0.1784
CM0 8QE,Sale,51.6422816,0.8127145
LS5 3PH,Sale,53.82944605,-1.6126529
RM17 5YT,Sale,51.47715,0.30956
NW10 1AU,Sale,51.55699,-0.24614
OL9 7BY,Sale,53.53276,-2.13767
OL4 1RQ,Sale,53.52992,-2.0863999
E15 4EH,Sale,51.543111555555555,0.011199722222222222
GU46 6NG,Sale,51.3410108,-0.8334018
SG8 0QQ,Sale,52.0676885,-0.0842985
NP10 9SY,Sale,51.59173311666667,-3.053638208333333
TF9 4RG,Sale,52.92458,-2.3887
KT4 8LJ,Sale,51.37924,-0.23269
NE13 9DU,Sale,55.02716,-1.65276
TW8 9GF,Sale,51.4915581,-0.31240416666666665
WF12 0JL,Sale,53.66329,-1.62027
SS5 6HN,Sale,51.62207,0.6182
DA7 5NA,Sale,51.47742,0.13927
HU1 1AX,Sale,53.74011,-0.3348
TQ1 4QJ,Sale,50.4873168,-3.5260795
HX3 0PG,Sale,53.70626,-1.8559
OX7 5RZ,Sale,51.93322,-1.5464
CV32 7HU,Sale,52.31453,-1.51493
LU4 0UZ,Sale,51.90369,-0.48736
SE5 7HF,Sale,51.4764891,-0.0798085
HU2 9AE,Sale,53.74913,-0.34492
HU17 0RA,Sale,53.8361082,-0.4076455
NE34 7ER,Sale,54.97668,-1.3918299
OX5 3HD,Sale,51.87195,-1.2774
CM1 1AW,Sale,51.7404,0.47603
M29 8FX,Sale,53.52076,-2.4699
KY13 8EJ,Sale,56.20371,-3.42193
HP13 7BF,Sale,51.6248099,-0.72922
SW15 5EQ,Sale,51.46022,-0.23907
BA13 4TE,Sale,51.27,-2.12557
E20 1JX,Sale,51.546,-0.01217
GU14 7GZ,Sale,51.2968578,-0.7529286
NE13 9DW,Sale,55.02694,-1.65469
N1 3PA,Sale,51.54284,-0.08939
S81 9FG,Sale,53.36224,-1.1164099
DA1 5RE,Sale,51.46396,0.22453
N19 3RL,Sale,51.56903,-0.12954
LN11 9EE,Sale,53.35911,0.00149
M24 4LX,Sale,53.55957,-2.22385
WF3 3BQ,Sale,53.74045,-1.51149
CV9 1BU,Sale,52.5771912,-1.5475446
SW15 2EA,Sale,51.4604327,-0.2090853
S9 1SW,Sale,53.41501,-1.39919
OX3 7DX,Sale,51.7519182,-1.2051864
TF3 3AD,Sale,52.67545,-2.41002
IG4 5AA,Sale,51.5762,0.05767
S75 6PP,Sale,53.5894,-1.50376
E16 1RN,Sale,51.51067,0.01157
WF17 8DD,Sale,53.7134,-1.65738
SN25 1RL,Sale,51.58817,-1.81188
BS15 1JT,Sale,51.464302464,-2.514067332
L37 3PF,Sale,53.56166,-3.06038
SG18 9GS,Sale,52.04623,-0.26434
M32 8BH,Sale,53.44957,-2.30564
SL0 0JS,Sale,51.51775,-0.5316
CV3 1PG,Sale,52.39832,-1.48353
WA2 0EP,Sale,53.414472870588234,-2.5639503588235293
SE12 9PG,Sale,51.43399,0.02688
SE15 3JG,Sale,51.45952,-0.05759
TA6 5EJ,Sale,51.13029338,-2.995740772
TA6 6FH,Sale,51.1074,-2.99844
SE8 5RR,Sale,51.4900499,-0.0412
CV3 2EL,Sale,52.3897,-1.45085
LN9 5LY,Sale,53.21785,-0.13136
UB4 0AN,Sale,51.52429,-0.41565
SE8 5RZ,Sale,51.4897765,-0.0377047
LU4 0UZ,Sale,51.90369,-0.48736
LE10 2QN,Sale,52.5234499,-1.36951
M23 2ZG,Sale,53.38629,-2.27736
NW1 4JE,Sale,51.52975,-0.14471
HP10 0JS,Sale,51.5802779,-0.6700512
DD5 4AJ,Sale,56.48417,-2.8114499
BH14 9LS,Sale,50.7235,-1.92977
M50 2HB,Sale,53.47437,-2.29164
WF14 0LU,Sale,53.687138375,-1.6987937416666667
B75 7DS,Sale,52.5603707,-1.8058782
L17 7BD,Sale,53.37501,-2.9481099
LS8 4DT,Sale,53.82081,-1.51792
BS16 5SZ,Sale,51.484548,-2.5071047944444445
IG1 3BJ,Sale,51.5625,0.06514
IP8 4FB,Sale,52.07998,1.09432
BN3 2WD,Sale,50.82484,-0.17632
PO6 1PL,Sale,50.8403,-1.04464
BB1 8RE,Sale,53.765166736000005,-2.4789523399999998
RG24 9UN,Sale,51.29,-1.09022
NE21 6BB,Sale,54.95306,-1.7306
KT2 6BX,Sale,51.4141439,-0.2879226
BD6 3NE,Sale,53.77148,-1.80773
DY9 9BE,Sale,52.44869,-2.11025
NR20 3UE,Sale,52.67555,0.96161
SY13 1PA,Sale,52.97102,-2.67532
BH7 7RN,Sale,50.74068,-1.83374
AL5 4NQ,Sale,51.82795,-0.34657
NW6 5PZ,Sale,51.53236,-0.20121
SS7 5PN,Sale,51.55512,0.55947
NW8 7RE,Sale,51.53176,-0.16737
CM20 3DH,Sale,51.7769319,0.1254199
E17 5QH,Sale,51.59633,-0.04098
LU4 9GF,Sale,51.8987,-0.46359
HR2 7XL,Sale,52.0439099,-2.73812
B77 3PF,Sale,52.6306,-1.68276
NG18 1LG,Sale,53.143879,-1.20062135
BH19 2AA,Sale,50.6061,-1.95511
NG1 5DW,Sale,52.952777465384614,-1.158149676923077
IG8 9BN,Sale,51.60334,0.01783
S4 8GZ,Sale,53.41038,-1.44608
M6 6HA,Sale,53.49454,-2.27131
DE55 1HF,Sale,53.07826,-1.39731
E17 7JD,Sale,51.57971,-0.03784
BB3 2TU,Sale,53.67198,-2.45419
WF12 0QP,Sale,53.65872,-1.61748
B61 8QL,Sale,52.339099825,-2.074560533333333
KY8 1HY,Sale,56.17411,-3.03248
CA13 0DE,Sale,54.67489,-3.45204
BA2 3QB,Sale,51.3782979,-2.382116925
BH20 6JS,Sale,50.70258463333333,-2.249804033333333
GU12 5SE,Sale,51.26353,-0.72715
GU2 8LX,Sale,51.24382,-0.61606
SS4 2EN,Sale,51.5962699,0.80571
B23 7SU,Sale,52.52856096,-1.8749684800000002
DE21 7EJ,Sale,52.92557,-1.39523
G51 1AT,Sale,55.85223,-4.29539
SA10 9HY,Sale,51.77733,-3.66166
B5 7PL,Sale,52.45957755,-1.904672075
WS13 6BJ,Sale,52.69522,-1.81571
NE30 3QY,Sale,55.02541,-1.44796
BD3 9LD,Sale,53.79407,-1.73728
NW9 4FG,Sale,51.59537,-0.23828
BB5 5PS,Sale,53.7743,-2.39131
RG14 2AA,Sale,51.4129999,-1.31911
N16 9DH,Sale,51.5566699,-0.0907
M22 9UE,Sale,53.38839,-2.25897
SN25 2QT,Sale,51.6075299,-1.82433
WA3 6PH,Sale,53.43282,-2.51692
NW6 4PG,Sale,51.54041045,-0.19329575
LS14 2EZ,Sale,53.8287,-1.44914
G12 9QX,Sale,55.87732,-4.30811
WS12 1JQ,Sale,52.71076,-1.97459
E17 4PX,Sale,51.5908171,-0.0190058
NR4 7HH,Sale,52.62867207,1.25930793
ME12 3UL,Sale,51.42706,0.78006
WF17 6RF,Sale,53.71242,-1.61622
DG16 5BE,Sale,54.99141,-3.06593
DN33 3FS,Sale,53.53886,-0.11106
NG1 2AU,Sale,52.9535745,-1.1477415
B42 2JA,Sale,52.537478025,-1.9153377386363637
DE14 1QB,Sale,52.81174,-1.63177
FK1 5JB,Sale,55.99894,-3.80633
SM1 4QB,Sale,51.36754,-0.18521
WS12 4SP,Sale,52.72028,-2.0187
BD6 3HX,Sale,53.77031,-1.7865
BS15 4FT,Sale,51.4631,-2.50301
N7 9HS,Sale,51.54544,-0.11846
CF3 6YG,Sale,51.53687,-3.12502
N17 9RN,Sale,51.5961,-0.06426
DH6 3BF,Sale,54.73879,-1.42685
ME7 3LX,Sale,51.33028,0.57522
E17 4JQ,Sale,51.59285,-0.00788
BS9 4ST,Sale,51.4899046,-2.5976659
BA14 9TB,Sale,51.3219,-2.23227
GU27 1NA,Sale,51.0902699,-0.74913
GU27 1LA,Sale,51.08644,-0.73233
IG11 9HX,Sale,51.54451,0.09734
BS7 0HA,Sale,51.49569432903226,-2.5798378225806453
SE18 3LW,Sale,51.47715,0.0669199
DE6 1BH,Sale,53.0096994,-1.7218621
E4 8AS,Sale,51.6159899,-0.02479
WA3 1EL,Sale,53.47684,-2.54846
LE19 4QH,Sale,52.5867,-1.21957
NR32 5LP,Sale,52.5328542,1.6910952
RG6 6BG,Sale,51.44249531111111,-0.9361392777777778
AL5 1BP,Sale,51.80242,-0.34362
ST7 2XR,Sale,53.09338,-2.3142299
YO19 4AJ,Sale,53.934779425,-1.0651225375
CV2 4NE,Sale,52.41731,-1.47909
PO7 3DR,Sale,50.88075,-1.04981
ME5 7PH,Sale,51.36400978,0.550679015
LE7 2ED,Sale,52.7010099,-1.06395
E13 0PR,Sale,51.5347694,0.0254838
B66 4NT,Sale,52.48521,-1.96193
EC1V 3RQ,Sale,51.52706,-0.09599
BH6 5BL,Sale,50.73171,-1.80546
OL8 3NA,Sale,53.51824655,-2.13196725
NE6 3RT,Sale,54.96345999354838,-1.559146364516129
W4 2HS,Sale,51.48996,-0.25471
BS5 9AQ,Sale,51.46259868333333,-2.5585808208333334
OL4 1LR,Sale,53.54016,-2.08861
W2 1UX,Sale,51.52061,-0.1789
CB1 9AS,Sale,52.202158725,0.19233335
WF9 4RT,Sale,53.60723,-1.35971
BD22 6LE,Sale,53.86064,-1.93273
LS28 5EQ,Sale,53.8096,-1.67705
LE1 2GN,Sale,52.6402,-1.12265
E11 1DB,Sale,51.56812,-3e-05
KA11 4JG,Sale,55.60551,-4.61894
BN20 7PF,Sale,50.75499,0.2685699
OL1 4BS,Sale,53.55182,-2.09655
LS11 7JA,Sale,53.77391,-1.56194
N7 7RS,Sale,51.56481,-0.11439
NW5 2QQ,Sale,51.55128,-0.13922
OX3 7QF,Sale,51.75625,-1.22066
WV6 8SZ,Sale,52.60002,-2.1843
SS3 9JQ,Sale,51.53075,0.77545
WF5 9EU,Sale,53.68564,-1.58619
CO11 2EG,Sale,51.936534657575756,1.0485682333333335
SE16 7GA,Sale,51.4980834,-0.0328692
BS7 0QW,Sale,51.50151,-2.56817
CV9 2AW,Sale,52.57268121777778,-1.55269908
DE14 3AE,Sale,52.79734,-1.63936
DN6 0BF,Sale,53.6182299,-1.15218
SM1 1SA,Sale,51.3685,-0.19839
TS17 5FB,Sale,54.52888,-1.3206
BN3 8AD,Sale,50.84526,-0.20331
N8 0DB,Sale,51.58899,-0.11173
B14 4LU,Sale,52.412137928571426,-1.8683754
EH30 9JB,Sale,55.98617,-3.39344
DE74 2JS,Sale,52.8404617,-1.3482855
SE19 1SS,Sale,51.42147,-0.07931
SE16 3EX,Sale,51.49627,-0.07091
BN2 1FB,Sale,50.81691,-0.11518
RG31 5NW,Sale,51.461407,-1.0500273
CA4 9SL,Sale,54.81479,-2.76847
CB4 1TZ,Sale,52.22132810555556,0.1514861611111111
LS27 0NZ,Sale,53.7263265,-1.6252062
EH12 5LA,Sale,55.946024475,-3.220980075
AL4 0FY,Sale,51.75362,-0.29865
B91 2LE,Sale,52.424641125,-1.771361925
TQ2 7RX,Sale,50.4824043,-3.5698612
WS9 9RD,Sale,52.63133,-1.9213
PO2 0NR,Sale,50.81966,-1.07146
OX27 7AF,Sale,51.96003,-1.23281
B75 7DT,Sale,52.5607856,-1.8056292
EH22 2NT,Sale,55.9045328,-3.00137
CH65 2AA,Sale,53.28533,-2.89769
SE2 0QB,Sale,51.48217,0.12602
WR5 2JU,Sale,52.18042,-2.19195
CH3 5BB,Sale,53.19283,-2.88097
M16 7SF,Sale,53.45434085,-2.2662456
NW3 3SS,Sale,51.54249,-0.16852
FK4 1DJ,Sale,56.00221714285715,-3.901125885714286
BD8 7SZ,Sale,53.80279,-1.76734
CA2 4ER,Sale,54.88235,-2.92636
NR3 2DR,Sale,52.64436,1.2767599
WS12 3HQ,Sale,52.6873,-1.98262
PR1 0RD,Sale,53.74789,-2.73436
B68 9LZ,Sale,52.48979,-1.99574
WA1 4EE,Sale,53.401844031578946,-2.5290316236842108
TW2 6AQ,Sale,51.4458399,-0.37985
E17 7QS,Sale,51.58142,-0.02515
EH17 7BA,Sale,55.9094,-3.12892
TN24 0DA,Sale,51.1344,0.88894
PO12 2JR,Sale,50.79255275,-1.14998825
IG10 2EB,Sale,51.6538899,0.08161
PR5 5XY,Sale,53.731709326,-2.682583598
PO19 6US,Sale,50.84493,-0.766
